Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ADX_14,DMP_14,DMN_14,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI_14
2022-04-22,166.21578950991983,167.62370928767504,161.26305973298864,161.55262756347656,84882400,0.0,0,,,,166.21578950991983,167.62370928767504,161.26305973298864,161.55262756347656,84882400,0.0,0,
2022-04-25,160.8836094037595,162.93060481246488,158.22752357786894,162.6410369873047,96046400,0.0,0,,,,160.8836094037595,162.93060481246488,158.22752357786894,162.6410369873047,96046400,0.0,0,
2022-04-26,162.01196279794414,162.1018271020815,156.49007708759515,156.56996154785156,95623200,0.0,0,,,,162.01196279794414,162.1018271020815,156.49007708759515,156.56996154785156,95623200,0.0,0,
2022-04-27,155.681266151167,159.5555633940203,155.15204493968957,156.34030151367188,88063200,0.0,0,,,,155.681266151167,159.5555633940203,155.15204493968957,156.34030151367188,88063200,0.0,0,
2022-04-28,159.0163589297252,164.27863140037405,158.69682109909343,163.39991760253906,130216800,0.0,0,,,,159.0163589297252,164.27863140037405,158.69682109909343,163.39991760253906,130216800,0.0,0,
2022-04-29,161.60255634326342,165.95616027451882,157.01929411764706,157.418701171875,131587100,0.0,0,,,,161.60255634326342,165.95616027451882,157.01929411764706,157.418701171875,131587100,0.0,0,
2022-05-02,156.48009015884776,157.9978491257918,153.04513470535997,157.72825622558594,123055300,0.0,0,,,,156.48009015884776,157.9978491257918,153.04513470535997,157.72825622558594,123055300,0.0,0,
2022-05-03,157.9179669138001,160.47422385339235,156.09066517415604,159.2460174560547,88966500,0.0,0,,,,157.9179669138001,160.47422385339235,156.09066517415604,159.2460174560547,88966500,0.0,0,
2022-05-04,159.4357385229662,166.2357448018237,159.02633639723712,165.77642822265625,108256500,0.0,0,,,,159.4357385229662,166.2357448018237,159.02633639723712,165.77642822265625,108256500,0.0,0,
2022-05-05,163.609623375098,163.8392816781729,154.7226713355035,156.54000854492188,130525300,0.0,0,,,,163.609623375098,163.8392816781729,154.7226713355035,156.54000854492188,130525300,0.0,0,
2022-05-06,156.00999450683594,159.44000244140625,154.17999267578125,157.27999877929688,116055700,0.23,0,,,,156.00999450683594,159.44000244140625,154.17999267578125,157.27999877929688,116055700,0.23,0,
2022-05-09,154.92999267578125,155.8300018310547,151.49000549316406,152.05999755859375,131577900,0.0,0,,,,154.92999267578125,155.8300018310547,151.49000549316406,152.05999755859375,131577900,0.0,0,
2022-05-10,155.52000427246094,156.74000549316406,152.92999267578125,154.50999450683594,115366700,0.0,0,,,,155.52000427246094,156.74000549316406,152.92999267578125,154.50999450683594,115366700,0.0,0,
2022-05-11,153.5,155.4499969482422,145.80999755859375,146.5,142341900,0.0,0,,,,153.5,155.4499969482422,145.80999755859375,146.5,142341900,0.0,0,
2022-05-12,142.77000427246094,146.19000244140625,138.8000030517578,141.17010498046875,148369550,0.0,0,,14.74466150612281,38.733086743207814,142.77000427246094,146.19000244140625,138.8000030517578,141.17010498046875,148369550,0.0,0,28.760025215551703
